Year,Model,MAE,RMSE,MAPE
2023,ARIMA,2008.8944992895986,5554.051371291488,7.993008094244453
2023,LSTM,1509.6961580459772,3497.1446627956802,16.00348491312131
2023,XGBoost,931.9420431034481,3644.863277101022,3.1830917135832344
2024,ARIMA,2417.4187912181833,6693.40947184881,9.115309997988973
2024,LSTM,1083.971328235294,2500.7009288016384,13.925935447640256
2024,XGBoost,705.8801729411762,1812.9503038696055,2.5907627186999496
