country_code,year,gdp_per_capita,population,inflation_hcpi,dependency_ratio,employment_rate,interest_rate
ABW,1990,33063.0,62753.0,2.890000104904175,48.3884698148455,,4.5666408556276
ABW,1991,33993.207,65896.0,2.890000104904175,50.238252661818,,4.79112520734837
ABW,1992,34371.164,69005.0,2.890000104904175,51.0352827876029,,6.52813758772899
ABW,1993,34540.336,73685.0,2.890000104904175,50.4215576196795,,5.03292510547116
ABW,1994,35490.723,77595.0,2.890000104904175,49.7915138411644,,4.05692612365099
ABW,1995,35386.86,79805.0,2.890000104904175,48.4495619338157,,6.98825052743605
ABW,1996,34419.43,83021.0,3.200000047683716,46.6724378566507,,6.89090544941648
ABW,1997,35444.58,86301.0,2.996000051498413,45.3563969547935,,6.31195251913281
ABW,1998,35271.906,88451.0,1.875,44.3940185451221,,4.173555703149
ABW,1999,35227.477,89659.0,2.2769999504089355,43.6697806335828,,10.7168994077419
ABW,2000,37524.035,90588.0,4.048999786376953,43.3179869318272,,10.9174500760991
ABW,2001,38729.457,91439.0,2.890000104904175,43.2308391159286,,15.885948876168
ABW,2002,38098.906,92074.0,3.319999933242798,43.0780227806007,,6.57378500312943
ABW,2003,38086.01,93128.0,3.6600000858306885,42.8753336810776,,7.42457507462851
ABW,2004,40000.562,95138.0,2.5299999713897705,42.6913039565648,,6.60450953637949
ABW,2005,38828.215,97635.0,3.4000000953674316,42.6369612856099,,5.64637297616821
ABW,2006,38566.8,99405.0,3.609999895095825,42.7685060178669,,5.81310509823675
ABW,2007,39462.586,100150.0,5.389999866485596,42.9917617327489,,4.97600231726435
ABW,2008,39881.59,100917.0,8.960000038146973,43.260508496231,,5.9825479431511
ABW,2009,34986.15,101604.0,-2.140000104904175,43.5354448619784,,8.84604657019821
ABW,2010,33951.625,101838.0,2.0799999237060547,43.4533955008381,,11.6661307585963
ABW,2011,34837.94,102591.0,4.320000171661377,43.0477704342006,,4.80197433814387
ABW,2012,33972.34,104110.0,0.6299999952316284,42.8649842877335,,8.20087500684476
ABW,2013,35621.785,105675.0,-2.369999885559082,43.0385229703024,,10.7097087655441
ABW,2014,35746.863,106807.0,0.41999998688697815,43.5153583617747,,6.37347405601159
ABW,2015,36660.633,107906.0,0.47999998927116394,44.2477876106195,,6.37347405601159
ABW,2016,36832.902,108727.0,-0.8899999856948853,45.1551319021681,,6.37347405601159
ABW,2017,38116.832,108735.0,-0.474,46.125005039442,,6.37347405601159
ABW,2018,39278.83,108908.0,3.58,47.1166704939956,,6.37347405601159
ABW,2019,39652.633,109203.0,4.256999969482422,48.0999783009656,,6.37347405601159
ABW,2020,30347.637,108587.0,1.222000002861023,48.8784687945596,,6.37347405601159
ABW,2021,35104.785,107700.0,0.744,49.3199495334618,,6.37347405601159
ABW,2022,38979.836,107310.0,5.52,49.8010748935576,,6.37347405601159
ABW,2023,41964.77,107359.0,3.363,50.499754678629,,6.37347405601159
ABW,2024,44558.93,107995.0,1.712,51.2895227154925,,6.37347405601159
AFG,2000,1617.8264,20130327.0,0.0010000000474974513,109.586047730495,42.885,10.0468971030039
AFG,2001,1454.1108,20284307.0,-43.400001525878906,110.219341359285,42.817,10.0468971030039
AFG,2002,1774.3087,21378117.0,51.93000030517578,110.534611030603,42.846,10.0468971030039
AFG,2003,1815.9282,22733049.0,35.66299819946289,110.557539565476,42.85,10.0468971030039
AFG,2004,1776.9182,23560654.0,16.357999801635742,110.285308007212,42.881,10.0468971030039
AFG,2005,1908.1147,24404567.0,10.569000244140625,109.728525433204,42.866,10.0468971030039
AFG,2006,1929.7239,25424094.0,6.78000020980835,108.889135191956,42.893,10.0468971030039
AFG,2007,2155.353,25909852.0,8.680000305175781,107.737250564546,42.966,-3.58511111025937
AFG,2008,2191.5044,26482622.0,26.420000076293945,106.334375525183,43.004,12.5579601438018
AFG,2009,2565.022,27466101.0,-6.809999942779541,104.799467490534,43.097,17.5429289286094
AFG,2010,2848.5862,28284089.0,2.180000066757202,103.144455694301,43.159,11.3640937418183
AFG,2011,2757.0525,29347708.0,11.800000190734863,101.458308292088,43.213,-1.24150600982001
AFG,2012,2985.319,30560034.0,6.440000057220459,99.7731309368865,43.258,7.17438724753763
AFG,2013,3046.5798,31622704.0,7.389999866485596,98.063558808759,43.301,9.78449593859924
AFG,2014,3017.9426,32792523.0,4.670000076293945,96.3463937851296,43.368,14.3516893380043
AFG,2015,2967.6921,33831764.0,-0.6600000262260437,94.6132337112821,42.906,14.3516893380043
AFG,2016,2958.7854,34700612.0,4.380000114440918,92.8898712202104,42.457,14.3516893380043
AFG,2017,2952.999,35688935.0,4.976,91.2936186853936,42.014,14.3516893380043
AFG,2018,2902.392,36743039.0,0.63,89.8496059758101,40.466,14.3516893380043
AFG,2019,2927.245,37856121.0,2.302000045776367,88.5120276122222,38.913,14.3516893380043
AFG,2020,2769.6858,39068979.0,5.442999839782715,87.2478169146763,36.71,14.3516893380043
