,TP,TN,FP,FN,Directional Accuracy,Sensitivity (TPR),Specificity (TNR),Precision,Recall,F1-Score
XGBoost,463.0,52.0,245.0,109.0,59.26352128883774,80.94405594405595,17.50841750841751,65.3954802259887,80.94405594405595,72.34375
ARIMA,391.0,103.0,194.0,181.0,56.84695051783659,68.35664335664336,34.68013468013468,66.83760683760683,68.35664335664336,67.5885911840968
LSTM,554.0,51.0,246.0,18.0,69.62025316455697,96.85314685314685,17.17171717171717,69.25,96.85314685314685,80.75801749271136
