country_code,year,gdp_per_capita,gdp_lag_1,gdp_lag_2,gdp_growth_rate,growth_lag_1,gdp_rolling_mean_3yr,inflation_hcpi,employment_rate,dependency_ratio,is_shock,world_gdp_growth,pct_countries_contracting
ABW,1990,33063.0,,,,,33063.0,2.890000104904175,,48.3884698148455,0,,0.0
ABW,1991,33993.207,33063.0,,2.813437982034306,,33528.1035,2.890000104904175,,50.238252661818,0,-0.2856,52.26
ABW,1992,34371.164,33993.207,33063.0,1.1118603784573633,2.813437982034306,33809.12366666667,2.890000104904175,,51.0352827876029,0,0.1247,47.74
ABW,1993,34540.336,34371.164,33993.207,0.4921916522815595,1.1118603784573633,34301.568999999996,2.890000104904175,,50.4215576196795,0,0.5543,46.23
ABW,1994,35490.723,34540.336,34371.164,2.75152795271012,0.4921916522815595,34800.741,2.890000104904175,,49.7915138411644,0,1.9845,31.0
ABW,1995,35386.86,35490.723,34540.336,-0.29264830699560207,2.75152795271012,35139.306333333334,2.890000104904175,,48.4495619338157,0,2.4831,22.39
ABW,1996,34419.43,35386.86,35490.723,-2.7338678820330475,-0.29264830699560207,35099.00433333333,3.200000047683716,,46.6724378566507,0,2.6125,19.4
ABW,1997,35444.58,34419.43,35386.86,2.9784049300061177,-2.7338678820330475,35083.62333333334,2.996000051498413,,45.3563969547935,0,2.7406,19.7
ABW,1998,35271.906,35444.58,34419.43,-0.4871661619350487,2.9784049300061177,35045.30533333334,1.875,,44.3940185451221,0,2.0802,23.15
ABW,1999,35227.477,35271.906,35444.58,-0.12596143797843906,-0.4871661619350487,35314.65433333333,2.2769999504089355,,43.6697806335828,0,1.835,28.57
ABW,2000,37524.035,35227.477,35271.906,6.519223616269776,-0.12596143797843906,36007.806000000004,4.048999786376953,,43.3179869318272,0,3.0891,19.02
ABW,2001,38729.457,37524.035,35227.477,3.212399732598059,6.519223616269776,37160.323000000004,2.890000104904175,,43.2308391159286,0,1.6986,26.83
ABW,2002,38098.906,38729.457,37524.035,-1.6280915066792634,3.212399732598059,38117.46600000001,3.319999933242798,,43.0780227806007,0,1.713,23.79
ABW,2003,38086.01,38098.906,38729.457,-0.03384874095859747,-1.6280915066792634,38304.791000000005,3.660000085830689,,42.8753336810776,0,2.7913,20.87
ABW,2004,40000.562,38086.01,38098.906,5.026916707735984,-0.03384874095859747,38728.492666666665,2.5299999713897705,,42.6913039565648,0,3.6944,12.14
ABW,2005,38828.215,40000.562,38086.01,-2.9308263218901787,5.026916707735984,38971.59566666667,3.400000095367432,,42.6369612856099,0,3.2316,12.62
ABW,2006,38566.8,38828.215,40000.562,-0.6732604112756446,-2.9308263218901787,39131.859,3.609999895095825,,42.7685060178669,0,3.7009,8.7
ABW,2007,39462.586,38566.8,38828.215,2.322686870572621,-0.6732604112756446,38952.53366666666,5.389999866485596,,42.9917617327489,0,3.7619,10.58
ABW,2008,39881.59,39462.586,38566.8,1.061775323087022,2.322686870572621,39303.65866666666,8.960000038146973,,43.260508496231,1,2.0455,24.76
ABW,2009,34986.15,39881.59,39462.586,-12.274936881904653,1.061775323087022,38110.10866666667,-2.140000104904175,,43.5354448619784,1,-1.4188,63.03
ABW,2010,33951.625,34986.15,39881.59,-2.9569558239474825,-12.274936881904653,36273.121666666666,2.0799999237060547,,43.4533955008381,0,2.9074,18.48
ABW,2011,34837.94,33951.625,34986.15,2.610523060383718,-2.9569558239474825,34591.905,4.320000171661377,,43.0477704342006,0,2.7469,18.01
ABW,2012,33972.34,34837.94,33951.625,-2.484647484897229,2.610523060383718,34253.96833333333,0.6299999952316284,,42.8649842877335,0,1.5288,28.44
ABW,2013,35621.785,33972.34,34837.94,4.855258719299305,-2.484647484897229,34810.68833333333,-2.369999885559082,,43.0385229703024,0,1.6887,25.0
ABW,2014,35746.863,35621.785,33972.34,0.35112782809731957,4.855258719299305,35113.66266666667,0.4199999868869781,,43.5153583617747,0,1.78,18.87
ABW,2015,36660.633,35746.863,35621.785,2.5562243042137833,0.35112782809731957,36009.76033333334,0.4799999892711639,,44.2477876106195,0,1.6021,23.11
ABW,2016,36832.902,36660.633,35746.863,0.46990186994315675,2.5562243042137833,36413.46600000001,-0.8899999856948853,,45.1551319021681,0,2.0006,21.7
ABW,2017,38116.832,36832.902,36660.633,3.4858236258440867,0.46990186994315675,37203.45566666667,-0.474,,46.125005039442,0,2.2077,18.4
ABW,2018,39278.83,38116.832,36832.902,3.0485167287774617,3.4858236258440867,38076.188,3.58,,47.1166704939956,0,2.0652,20.28
ABW,2019,39652.633,39278.83,38116.832,0.9516653118231799,3.0485167287774617,39016.098333333335,4.256999969482422,,48.0999783009656,0,1.7415,22.64
ABW,2020,30347.637,39652.633,39278.83,-23.46627524078919,0.9516653118231799,36426.36666666667,1.222000002861023,,48.8784687945596,1,-4.6196,89.62
ABW,2021,35104.785,30347.637,39652.633,15.675513714626298,-23.46627524078919,35035.01833333333,0.744,,49.3199495334618,1,4.414,16.04
ABW,2022,38979.836,35104.785,30347.637,11.038526514262937,15.675513714626298,34810.75266666667,5.52,,49.8010748935576,0,2.8762,15.57
ABW,2023,41964.77,38979.836,35104.785,7.657636117299194,11.038526514262937,38683.130333333334,3.363,,50.499754678629,0,1.9352,23.81
ABW,2024,44558.93,41964.77,38979.836,6.181756745003009,7.657636117299194,41834.511999999995,1.712,,51.2895227154925,0,2.1027,17.91
