country_code,latest_gdp,avg_shock_growth,speed_2008,quality_2008,speed_2020,quality_2020,avg_employment,avg_dependency,avg_inflation,cluster,cluster_name
ABW,44558.93,-4.75098077124513,11.0,88.28093526359372,3.0,105.83097974855792,,45.86449477220713,2.512885729108538,,
AFG,1983.8126,-2.3114549033632845,1.0,127.91651761915564,,67.77063757902054,41.221916666666665,99.44773974534263,6.8204165793478415,,
AGO,8901.888,-0.8380337704382818,1.0,105.7489228835392,,91.0888368597424,64.17368571428572,92.07058744713187,319.6228237812756,,
ALB,21641.074,4.992415173209755,1.0,118.41715948224328,1.0,122.1931815951287,50.45167142857143,53.050030517470496,14.550888580244083,0.0,Resilient Emerging
AND,65928.305,-4.608143830551817,16.0,92.27325821754796,2.0,102.23898892525456,,37.67734739615312,,,
ARE,69701.805,-6.1181907526416,,83.95261285737735,,96.45287743688566,74.84934285714286,27.228035831916824,3.207674630385364,,
ARG,26771.965,-1.0223249431250574,2.0,109.5904369441292,2.0,102.25630148579664,54.42138571428571,58.370466408437075,96.84956997404862,0.0,Resilient Emerging
ARM,20078.785,-1.8257839186465623,3.0,100.8379600451387,2.0,119.6566218696347,53.92801428571428,50.971470955963795,266.389327374158,0.0,Resilient Emerging
ATG,29371.639,-6.615852910045494,,75.27061142833253,,96.02784486087768,,49.01257469852502,2.629487957241735,,
AUS,60303.98,0.48723153737400277,1.0,103.08498835593788,1.0,104.54161207664949,60.59321428571428,50.415984263924734,2.768953438312442,0.0,Resilient Emerging
AUT,63788.08,-1.2354293494620083,3.0,101.32517933002828,2.0,99.88689257557436,56.335457142857145,48.89343764098684,2.4573095720103786,2.0,Struggling Developed
AZE,22072.148,3.928691834157447,1.0,116.7037561420997,1.0,106.01570271500248,63.852671428571426,49.08550807806679,125.94659314897615,0.0,Resilient Emerging
BDI,1051.2593,-0.6944225103971052,4.0,99.9726261331621,,97.941018201142,79.3804,99.03698750833368,11.47712793245311,,
BEL,63347.785,-0.6051091579188761,6.0,99.30127093019624,1.0,104.3244477424322,48.553757142857144,53.005475870294674,2.2552146952711363,2.0,Struggling Developed
BEN,3901.326,1.6515707356432847,1.0,100.10534463727096,1.0,113.41340616165036,71.89752857142858,90.47973235208958,3.884884146701991,0.0,Resilient Emerging
BFA,2547.6724,1.6809981549877477,1.0,112.006036732192,1.0,103.95855986135103,76.95238571428573,94.23452517411395,3.0116231158475584,0.0,Resilient Emerging
BGD,8486.785,4.422126892966711,1.0,120.60205621328625,1.0,120.53239345418748,56.02872857142857,65.12492656966855,6.477901566543873,0.0,Resilient Emerging
BGR,34221.53,2.636278319587274,1.0,109.20134980155416,1.0,113.46060793117869,47.29407142857143,49.88666512258571,56.47523573517862,0.0,Resilient Emerging
BHR,58891.832,-1.7423392527239319,3.0,100.75957402017414,2.0,101.88536872977532,67.55984285714287,38.191587448063466,1.463856907512247,2.0,Struggling Developed
BHS,36244.05,-2.9843715100753485,16.0,90.88905679191988,2.0,106.08020663510476,65.68072857142857,48.80729235521915,2.2332597050602634,2.0,Struggling Developed
BIH,20527.693,3.356695356594355,1.0,111.70949861200666,1.0,116.29909673095896,39.66615714285714,46.992290682401965,2.193187416307119,0.0,Resilient Emerging
BLR,29040.973,3.5169006894436277,1.0,126.89934884349152,1.0,103.67037802410704,56.78067142857143,46.76855307085355,178.85989395994193,0.0,Resilient Emerging
BLZ,12621.408,-1.340294965461788,,89.73703263965494,2.0,105.14223428147687,54.489514285714286,68.89736622481367,1.9855968501765322,,
BMU,109311.94,-2.846053354459219,,85.92889928450387,2.0,107.88571640344756,,45.16500006332999,,,
BOL,11329.151,0.2862659055104104,1.0,112.48532484540756,,97.36182033299036,68.398,68.865884417024,5.914997630573049,,
BRA,19652.365,0.8895779387288637,1.0,113.30382181070942,1.0,105.88941295785068,59.076100000000004,50.335128282931635,245.41081758804654,0.0,Resilient Emerging
BRB,21837.725,-5.041991546115845,,91.5377585640937,3.0,102.80014267542656,59.76978571428572,49.18330957296027,3.5352775435994155,,
BRN,79071.734,-2.962769305028737,,93.30978737319982,,95.49851324023884,62.583971428571424,44.92611734959057,0.9531178022425124,,
BTN,14610.296,0.6761613246719451,1.0,130.7455213927398,3.0,100.37861414088228,66.10108823529411,61.3394155735049,6.484498978315858,3.0,Resilient Low-Income
BWA,18068.506,-3.6185182766654282,5.0,96.12930004692674,2.0,104.56461694210928,49.57501428571429,68.02307255730301,7.8232645085654475,2.0,Struggling Developed
CAF,1111.2194,1.9388537339417748,1.0,118.10711727014125,,98.91544426509016,68.60457142857142,95.82041905604963,3.8956243382766655,,
CAN,56706.824,-1.2026401833229616,4.0,99.84983221284574,2.0,99.88467599456014,60.72642857142858,47.38724334466358,2.2213739291994914,2.0,Struggling Developed
CHE,82286.18,-0.02503114826945252,2.0,100.76323877484946,1.0,103.39034155938629,64.6017,48.5063322910822,1.116673016934726,2.0,Struggling Developed
CHL,30182.787,1.1225912996812806,1.0,110.8719774475004,1.0,104.76687751508008,53.57642857142857,49.5983758220076,6.041848180853628,0.0,Resilient Emerging
CHN,23845.62,7.134934812859466,1.0,142.31871955532242,1.0,120.5444017097514,68.89547142857143,43.631410498666945,3.6549978660705458,0.0,Resilient Emerging
CIV,6747.038,1.5957650298848018,1.0,100.44295171802024,1.0,110.6197260367855,63.040371428571426,89.24691343353186,3.5382652507639287,0.0,Resilient Emerging
