country_code,shock,pre_shock_gdp,recovery_speed_years,recovery_quality_pct
LKA,recession_2008,8454.207,1.0,125.6000947220715
LSO,recession_2008,2470.3147,1.0,111.29430594409693
LTU,recession_2008,29370.773,4.0,99.55729799825153
LUX,recession_2008,138677.97,,93.65969951824358
LVA,recession_2008,29423.736,7.0,86.01467876139182
MAC,recession_2008,102879.64,1.0,151.03603589592655
MAR,recession_2008,6620.5903,1.0,113.34024097518918
MDA,recession_2008,8854.834,1.0,115.38679324762045
MDG,recession_2008,1731.6176,,93.23948890332369
MDV,recession_2008,17439.951,3.0,100.81317315627778
MEX,recession_2008,21102.27,7.0,96.94502060678779
MHL,recession_2008,4222.413,2.0,100.86924230292016
MKD,recession_2008,15118.307,1.0,113.77799776125725
MLI,recession_2008,2515.947,1.0,104.26873857040708
MLT,recession_2008,34980.402,1.0,107.88739649132677
MMR,recession_2008,2968.3032,1.0,137.4055150430724
MNE,recession_2008,18966.531,1.0,106.03188321575516
MNG,recession_2008,8750.134,1.0,125.2563217889006
MOZ,recession_2008,1095.1257,1.0,116.47334182733545
MRT,recession_2008,6002.7783,9.0,94.17667982174189
MUS,recession_2008,16904.275,1.0,117.07411290930843
MWI,recession_2008,1318.3319,1.0,116.30067511830671
MYS,recession_2008,22305.12,2.0,108.11785814198713
NAM,recession_2008,10162.24,1.0,107.90212590924835
NER,recession_2008,1252.7483,1.0,105.21677020036665
NGA,recession_2008,6949.4263,1.0,117.32668781594245
NIC,recession_2008,5697.211,2.0,104.89787020350833
NLD,recession_2008,62601.62,7.0,99.54716826816941
NOR,recession_2008,87043.5,9.0,95.46082131348119
NPL,recession_2008,2708.7144,1.0,117.27520627497681
NRU,recession_2008,6109.601,1.0,128.99584277271134
NZL,recession_2008,42346.09,4.0,98.74556777260901
OMN,recession_2008,43696.97,1.0,101.7011248148327
OWID_EU27,recession_2008,46274.406,6.0,99.8504594526832
OWID_HIC,recession_2008,48145.7,3.0,100.71732678100018
OWID_LIC,recession_2008,2534.7456,1.0,106.75298144318704
OWID_LMC,recession_2008,4946.4395,1.0,116.16572688294275
OWID_UMC,recession_2008,11315.484,1.0,121.16972636786902
OWID_WRL,recession_2008,15510.866,2.0,106.24479638983408
PAK,recession_2008,4257.926,1.0,99.72148412161225
PAN,recession_2008,20208.822,1.0,123.70567665943122
PER,recession_2008,10286.3545,1.0,123.72313242752814
PHL,recession_2008,5840.068,1.0,109.38764754109027
PLW,recession_2008,18255.67,4.0,96.7968527038449
PNG,recession_2008,3345.8503,1.0,105.05050988085152
POL,recession_2008,24484.066,1.0,116.49070869193051
PRI,recession_2008,41888.625,14.0,97.8130339680522
PRT,recession_2008,37226.47,9.0,97.04733486682997
PRY,recession_2008,11141.87,1.0,117.65948624423011
PSE,recession_2008,4769.5234,1.0,121.71701055078165
QAT,recession_2008,109579.68,2.0,132.86292677620523
ROU,recession_2008,24328.494,1.0,107.49064450927376
RUS,recession_2008,32630.37,2.0,105.56008099203287
RWA,recession_2008,1516.2675,1.0,123.60714715576242
SAU,recession_2008,53318.418,2.0,109.9909697245706
SDN,recession_2008,4415.785,3.0,101.17399284611909
SEN,recession_2008,3316.4204,1.0,101.40087788628969
SGP,recession_2008,90417.805,2.0,109.81991876489371
SLB,recession_2008,2384.3179,1.0,116.48943708387209
SLE,recession_2008,2377.8054,2.0,108.94618626065866
SLV,recession_2008,8548.835,2.0,104.6114704518218
SMR,recession_2008,86785.016,,73.99217049173558
SOM,recession_2008,887.3693,1.0,118.81887281879146
SRB,recession_2008,17028.158,1.0,105.62891182945332
STP,recession_2008,4698.084,1.0,103.7970585455688
SUR,recession_2008,20902.139,1.0,114.0052364975661
SVK,recession_2008,28075.807,2.0,108.56812415044739
SVN,recession_2008,39995.207,9.0,95.57676498586443
SWE,recession_2008,57230.79,3.0,100.19170450032229
SWZ,recession_2008,7866.731,1.0,106.15453865144238
SYC,recession_2008,23117.855,3.0,105.57386055064366
SYR,recession_2008,8829.309,1.0,109.28175693024222
TCA,recession_2008,21878.82,9.0,78.37453756646839
TCD,recession_2008,2613.4739,2.0,104.88227182984302
TGO,recession_2008,1920.2693,1.0,109.95722839499649
THA,recession_2008,15742.655,2.0,106.50267061051646
TJK,recession_2008,2181.898,1.0,117.90105220317358
TKM,recession_2008,7060.1484,1.0,140.64419665739604
TLS,recession_2008,3256.5698,1.0,128.6568462312707
TON,recession_2008,5506.652,3.0,106.18873319033054
TTO,recession_2008,34793.645,2.0,99.9313524064524
TUN,recession_2008,11613.925,1.0,103.91589406682064
TUR,recession_2008,19909.084,3.0,109.2990014005667
TUV,recession_2008,3737.8787,7.0,98.65058488923142
TZA,recession_2008,2423.616,1.0,114.69258331352823
UGA,recession_2008,1999.0625,1.0,119.27917711427231
UKR,recession_2008,18374.014,,96.78863312066704
URY,recession_2008,20803.893,1.0,125.45402920501465
USA,recession_2008,61306.598,5.0,98.26916835280926
UZB,recession_2008,4764.564,1.0,128.03377182046458
VCT,recession_2008,13732.362,5.0,95.8968020213857
VIR,recession_2008,62332.945,,87.34236766769162
VNM,recession_2008,6418.544,1.0,119.22671247560194
VUT,recession_2008,3283.3655,1.0,103.27698820006484
WB_EAP,recession_2008,11869.004,1.0,120.98470099091718
WB_ECA,recession_2008,36985.766,3.0,100.98096116219412
WB_LAC,recession_2008,16820.953,2.0,107.91204279567275
WB_MENAP,recession_2008,12144.084,1.0,105.82093305678714
WB_NA,recession_2008,60574.895,5.0,98.39412350611587
WB_SA,recession_2008,4330.3027,1.0,120.07009117399576
WB_SSA,recession_2008,4334.8833,1.0,108.81081850577152
WSM,recession_2008,6013.2764,1.0,110.03603626136326
ZAF,recession_2008,14016.244,2.0,102.98237530682258
ZMB,recession_2008,2796.353,1.0,119.28548720422636
ZWE,recession_2008,3631.5376,2.0,120.02976370119369
ABW,covid_2020,39652.633,3.0,105.83097974855792
AFG,covid_2020,2927.245,,67.77063757902054
AGO,covid_2020,9648.011,,91.08883685974239
ALB,covid_2020,16761.193,1.0,122.1931815951287
AND,covid_2020,63215.9,2.0,102.23898892525456
ARE,covid_2020,72822.97,,96.45287743688566
ARG,covid_2020,26629.553,2.0,102.25630148579663
ARM,covid_2020,16215.36,2.0,119.6566218696347
ATG,covid_2020,29651.863,,96.02784486087769
AUS,covid_2020,58048.617,1.0,104.54161207664947
AUT,covid_2020,64609.375,2.0,99.88689257557436
AZE,covid_2020,20101.492,1.0,106.01570271500248
BDI,covid_2020,1057.9501,,97.941018201142
BEL,covid_2020,60479.977,1.0,104.3244477424322
BEN,covid_2020,3281.1047,1.0,113.41340616165037
BFA,covid_2020,2391.5364,1.0,103.95855986135105
BGD,covid_2020,6838.326,1.0,120.53239345418747
BGR,covid_2020,29150.043,1.0,113.46060793117869
BHR,covid_2020,56749.96,2.0,101.88536872977532
BHS,covid_2020,33202.49,2.0,106.08020663510477
BIH,covid_2020,17029.367,1.0,116.29909673095895
BLR,covid_2020,26798.82,1.0,103.67037802410704
BLZ,covid_2020,11765.975,2.0,105.14223428147689
BMU,covid_2020,95519.92,2.0,107.88571640344757
BOL,covid_2020,11930.916,,97.36182033299036
BRA,covid_2020,18018.621,1.0,105.88941295785068
BRB,covid_2020,20737.979,3.0,102.80014267542657
BRN,covid_2020,80228.16,,95.49851324023884
BTN,covid_2020,14555.188,3.0,100.37861414088228
BWA,covid_2020,18106.01,2.0,104.56461694210928
CAF,covid_2020,1145.0956,,98.91544426509017
CAN,covid_2020,57583.848,2.0,99.88467599456014
CHE,covid_2020,79596.7,1.0,103.39034155938627
CHL,covid_2020,28218.535,1.0,104.76687751508007
CHN,covid_2020,18820.514,1.0,120.5444017097514
CIV,covid_2020,5894.879,1.0,110.6197260367855
CMR,covid_2020,4882.3555,4.0,99.85448622084157
COD,covid_2020,1394.7646,1.0,111.79936743447605
COG,covid_2020,6939.369,,88.9459488319471
COL,covid_2020,17336.771,1.0,106.03472815093423
COM,covid_2020,3451.4214,4.0,99.50688432307916
CPV,covid_2020,9111.63,3.0,101.28221843951081
CRI,covid_2020,23364.783,1.0,111.19139861046432
CUW,covid_2020,28659.656,4.0,96.3651482767274
CYM,covid_2020,77476.84,3.0,102.83829335321369
CYP,covid_2020,45454.363,1.0,113.19865377939627
CZE,covid_2020,47763.617,1.0,99.57036963930099
DEU,covid_2020,62849.375,2.0,100.30230213108722
DJI,covid_2020,5809.3047,1.0,112.07328649846858
DMA,covid_2020,17619.434,3.0,103.73900205874943
DNK,covid_2020,67131.47,1.0,103.34828062010261
DOM,covid_2020,21451.287,1.0,108.53656472919317
DZA,covid_2020,15199.199,4.0,99.73765064856379
ECU,covid_2020,13870.489,2.0,103.40672920760039
EGY,covid_2020,15026.568,1.0,111.07916990759301
ESP,covid_2020,46896.418,3.0,100.90876023836191
EST,covid_2020,42218.96,1.0,97.79638579443927
ETH,covid_2020,2437.9705,1.0,113.12520803676665
FIN,covid_2020,56922.49,2.0,98.82013242920328
FJI,covid_2020,13056.331,3.0,101.06058892042489
FRA,covid_2020,53448.555,2.0,101.58688668009827
FRO,covid_2020,68134.03,1.0,105.39125602874218
