country_code,year,gdp_per_capita,population,inflation_hcpi,dependency_ratio,employment_rate,interest_rate,is_shock,shock_label,gdp_growth_rate,recovery_speed_covid_2020,recovery_speed_recession_2008,recovery_quality_covid_2020,recovery_quality_recession_2008,gdp_lag_1,growth_lag_1,gdp_lag_2,growth_lag_2,gdp_lag_3,growth_lag_3,gdp_rolling_mean_3yr,gdp_rolling_std_3yr,growth_rolling_mean_3yr,gdp_rolling_mean_5yr,gdp_rolling_std_5yr,growth_rolling_mean_5yr,pre_shock_baseline_2008,pre_shock_baseline_2020,gdp_dev_from_2008_baseline,gdp_dev_from_2020_baseline
ABW,1990,33063.0,62753.0,3.200000047683716,48.3884698148455,,4.5666408556276,0,none,,3.0,11.0,105.83097974855792,88.28093526359372,,,,,,,33063.0,,,33063.0,,,38952.53366666666,39016.098333333335,,
ABW,1991,33993.207,65896.0,3.200000047683716,50.238252661818,,4.79112520734837,0,none,2.813437982034306,3.0,11.0,105.83097974855792,88.28093526359372,33063.0,,,,,,33528.1035,657.7556776071989,2.813437982034306,33528.1035,657.7556776071989,2.813437982034306,38952.53366666666,39016.098333333335,,
ABW,1992,34371.164,69005.0,3.200000047683716,51.0352827876029,,6.52813758772899,0,none,1.1118603784573633,3.0,11.0,105.83097974855792,88.28093526359372,33993.207,2.813437982034306,33063.0,,,,33809.12366666667,673.2297289427546,1.9626491802458346,33809.12366666667,673.2297289427546,1.9626491802458346,38952.53366666666,39016.098333333335,,
ABW,1993,34540.336,73685.0,3.200000047683716,50.4215576196795,,5.03292510547116,0,none,0.4921916522815595,3.0,11.0,105.83097974855792,88.28093526359372,34371.164,1.1118603784573633,33993.207,2.813437982034306,33063.0,,34301.568999999996,280.125210716569,1.4724966709244096,33991.92675,660.1717309858998,1.4724966709244096,38952.53366666666,39016.098333333335,,
ABW,1994,35490.723,77595.0,3.200000047683716,49.7915138411644,,4.05692612365099,0,none,2.75152795271012,3.0,11.0,105.83097974855792,88.28093526359372,34540.336,0.4921916522815595,34371.164,1.1118603784573633,33993.207,2.813437982034306,34800.741,603.4990982917868,1.4518599944830142,34291.686,880.992664894266,1.7922544913708371,38952.53366666666,39016.098333333335,,
ABW,1995,35386.86,79805.0,3.200000047683716,48.4495619338157,,6.98825052743605,0,none,-0.29264830699560207,3.0,11.0,105.83097974855792,88.28093526359372,35490.723,2.75152795271012,34540.336,0.4921916522815595,34371.164,1.1118603784573633,35139.306333333334,521.316579299306,0.9836904326653592,34756.458,654.6495333669009,1.3752739316975493,38952.53366666666,39016.098333333335,,
ABW,1996,34419.43,83021.0,3.200000047683716,46.6724378566507,,6.89090544941648,0,none,-2.7338678820330475,3.0,11.0,105.83097974855792,88.28093526359372,35386.86,-0.29264830699560207,35490.723,2.75152795271012,34540.336,0.4921916522815595,35099.00433333333,590.815399753874,-0.09166274543950988,34841.702600000004,549.7650909222976,0.2658127588840786,38952.53366666666,39016.098333333335,,
ABW,1997,35444.58,86301.0,2.996000051498413,45.3563969547935,,6.31195251913281,0,none,2.9784049300061177,3.0,11.0,105.83097974855792,88.28093526359372,34419.43,-2.7338678820330475,35386.86,-0.29264830699560207,35490.723,2.75152795271012,35083.62333333334,575.9318428714736,-0.01603708634084396,35056.385800000004,529.2865066097977,0.6391216691938295,38952.53366666666,39016.098333333335,,
ABW,1998,35271.906,88451.0,1.875,44.3940185451221,,4.173555703149,0,none,-0.4871661619350487,3.0,11.0,105.83097974855792,88.28093526359372,35444.58,2.9784049300061177,34419.43,-2.7338678820330475,35386.86,-0.29264830699560207,35045.30533333334,548.8570189269075,-0.0808763713206595,35202.6998,445.44344530614114,0.4432501063505079,38952.53366666666,39016.098333333335,,
ABW,1999,35227.477,89659.0,2.2769999504089355,43.6697806335828,,10.7168994077419,0,none,-0.12596143797843906,3.0,11.0,105.83097974855792,88.28093526359372,35271.906,-0.4871661619350487,35444.58,2.9784049300061177,34419.43,-2.7338678820330475,35314.65433333333,114.69085907052396,0.7884257766975433,35150.0506,417.57523467730425,-0.13224777178720393,38952.53366666666,39016.098333333335,,
