country_code,year,gdp_per_capita,population,employment_rate,inflation_ccpi,inflation_fcpi,inflation_ecpi,inflation_ppi,inflation_def,ccpi_lag1,fcpi_lag1,ecpi_lag1,ppi_lag1,def_lag1,gdp_lag1
ABW,1991,33993.207,65896.0,56.738,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,25.236845802188,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,41.7660073172786,33063.0
ABW,1992,34371.164,69005.0,56.738,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,39.8488930114594,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,25.236845802188,33993.207
ABW,1993,34540.336,73685.0,56.738,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,75.2710766540372,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,39.8488930114594,34371.164
ABW,1994,35490.723,77595.0,56.738,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,74.2899531297248,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,75.2710766540372,34540.336
ABW,1995,35386.86,79805.0,56.738,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,1348.21147430605,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,74.2899531297248,35490.723
ABW,1996,34419.43,83021.0,56.738,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,3.20028170604823,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,1348.21147430605,35386.86
ABW,1997,35444.58,86301.0,56.738,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,3.74028729109821,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,3.20028170604823,34419.43
ABW,1998,35271.906,88451.0,56.738,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,6.69617823395874,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,3.74028729109821,35444.58
ABW,1999,35227.477,89659.0,56.738,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,2.06816762025523,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,6.69617823395874,35271.906
ABW,2000,37524.035,90588.0,56.738,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,1.06038005058692,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,2.06816762025523,35227.477
ABW,2001,38729.457,91439.0,56.738,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,5.63631334706044,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,1.06038005058692,37524.035
ABW,2002,38098.906,92074.0,56.738,2.94953796585083,3.4000000953674316,3.869999885559082,3.436629295349121,4.50561820807245,2.94953796585083,3.4000000953674316,2.0799999237060547,3.436629295349121,5.63631334706044,38729.457
ABW,2003,38086.01,93128.0,56.738,2.94953796585083,2.630000114440918,5.510000228881836,3.436629295349121,2.10881802927783,2.94953796585083,3.4000000953674316,3.869999885559082,3.436629295349121,4.50561820807245,38098.906
ABW,2004,40000.562,95138.0,56.738,2.94953796585083,3.3299999237060547,2.0799999237060547,3.436629295349121,2.16194888197997,2.94953796585083,2.630000114440918,5.510000228881836,3.436629295349121,2.10881802927783,38086.01
ABW,2005,38828.215,97635.0,56.738,2.94953796585083,3.75,6.690000057220459,3.436629295349121,3.34843766483579,2.94953796585083,3.3299999237060547,2.0799999237060547,3.436629295349121,2.16194888197997,40000.562
ABW,2006,38566.8,99405.0,56.738,2.94953796585083,5.179999828338623,7.429999828338623,3.436629295349121,2.9267787700956,2.94953796585083,3.75,6.690000057220459,3.436629295349121,3.34843766483579,38828.215
ABW,2007,39462.586,100150.0,56.738,2.94953796585083,13.670000076293945,5.510000228881836,3.436629295349121,5.72212939855175,2.94953796585083,5.179999828338623,7.429999828338623,3.436629295349121,2.9267787700956,38566.8
ABW,2008,39881.59,100917.0,56.738,2.94953796585083,11.15999984741211,13.789999961853027,3.436629295349121,4.81552387297068,2.94953796585083,13.670000076293945,5.510000228881836,3.436629295349121,5.72212939855175,39462.586
ABW,2009,34986.15,101604.0,56.738,2.94953796585083,4.619999885559082,-8.199999809265137,3.436629295349121,2.65686645831569,2.94953796585083,11.15999984741211,13.789999961853027,3.436629295349121,4.81552387297068,39881.59
ABW,2010,33951.625,101838.0,56.738,2.94953796585083,-2.2899999618530273,9.430000305175781,3.436629295349121,-1.03414153063381,2.94953796585083,4.619999885559082,-8.199999809265137,3.436629295349121,2.65686645831569,34986.15
ABW,2011,34837.94,102591.0,56.738,2.94953796585083,4.289999961853027,7.159999847412109,3.436629295349121,3.04019234160712,2.94953796585083,-2.2899999618530273,9.430000305175781,3.436629295349121,-1.03414153063381,33951.625
ABW,2012,33972.34,104110.0,56.738,2.94953796585083,2.6600000858306885,0.8100000023841858,3.436629295349121,0.791486241786635,2.94953796585083,4.289999961853027,7.159999847412109,3.436629295349121,3.04019234160712,34837.94
ABW,2013,35621.785,105675.0,56.738,2.94953796585083,0.18000000715255737,-7.460000038146973,3.436629295349121,-2.276053472458,2.94953796585083,2.6600000858306885,0.8100000023841858,3.436629295349121,0.791486241786635,33972.34
ABW,2014,35746.863,106807.0,56.738,2.94953796585083,2.1500000953674316,1.5700000524520874,3.436629295349121,1.77014672781022,2.94953796585083,0.18000000715255737,-7.460000038146973,3.436629295349121,-2.276053472458,35621.785
ABW,2015,36660.633,107906.0,56.738,2.94953796585083,2.1700000762939453,3.799999952316284,3.436629295349121,2.0444615028544,2.94953796585083,2.1500000953674316,1.5700000524520874,3.436629295349121,1.77014672781022,35746.863
ABW,2016,36832.902,108727.0,56.738,2.94953796585083,-0.17000000178813934,-2.4700000286102295,3.436629295349121,-1.76526599998143,2.94953796585083,2.1700000762939453,3.799999952316284,3.436629295349121,2.0444615028544,36660.633
ABW,2017,38116.832,108735.0,56.738,2.94953796585083,0.6600000262260437,-3.200000047683716,3.436629295349121,-1.48714536821543,2.94953796585083,-0.17000000178813934,-2.4700000286102295,3.436629295349121,-1.76526599998143,36832.902
ABW,2018,39278.83,108908.0,56.738,2.94953796585083,7.449999809265137,0.800000011920929,3.436629295349121,3.96044137290591,2.94953796585083,0.6600000262260437,-3.200000047683716,3.436629295349121,-1.48714536821543,38116.832
ABW,2019,39652.633,109203.0,56.738,2.94953796585083,12.820510656619646,1.23183052037011,3.436629295349121,2.08350468889701,2.94953796585083,7.449999809265137,0.800000011920929,3.436629295349121,3.96044137290591,39278.83
