,MAE,RMSE,MAPE,MASE,DA
Naive,0.9990312082028658,0.9807253560171868,1.0,0.9990318172173387,0.0
HistMean,0.0,0.0,0.0,0.0,0.4975204545454545
XGBoost,1.0,0.9880365873616807,0.9976897317203182,1.0,0.8512396694214874
ARIMA,0.8370642420909927,0.5425798564846409,0.8365111374725632,0.8370655117854031,0.8165289256198346
LSTM,0.9505020145579524,1.0,0.5426013245415279,0.9505024002763253,1.0
