country_code,year,gdp_per_capita,population,inflation_hcpi,dependency_ratio,employment_rate,interest_rate,is_shock,shock_label,gdp_growth_rate,recovery_speed_covid_2020,recovery_speed_recession_2008,recovery_quality_covid_2020,recovery_quality_recession_2008,gdp_lag_1,gdp_lag_2,growth_lag_1,gdp_rolling_mean_3yr,pre_shock_baseline_2008,pre_shock_baseline_2020,gdp_dev_from_2008_baseline,gdp_dev_from_2020_baseline,world_gdp_growth,pct_countries_contracting,cluster_name
ABW,1990,33063.0,62753.0,2.890000104904175,48.3884698148455,,4.5666408556276,0,none,,3.0,11.0,105.83097974855792,88.28093526359372,,,,33063.0,38952.53366666666,39016.098333333335,,,,0.0,
ABW,1991,33993.207,65896.0,2.890000104904175,50.238252661818,,4.79112520734837,0,none,2.813437982034306,3.0,11.0,105.83097974855792,88.28093526359372,33063.0,,,33528.1035,38952.53366666666,39016.098333333335,,,-0.2856,52.26,
ABW,1992,34371.164,69005.0,2.890000104904175,51.0352827876029,,6.52813758772899,0,none,1.1118603784573633,3.0,11.0,105.83097974855792,88.28093526359372,33993.207,33063.0,2.813437982034306,33809.12366666667,38952.53366666666,39016.098333333335,,,0.1247,47.74,
ABW,1993,34540.336,73685.0,2.890000104904175,50.4215576196795,,5.03292510547116,0,none,0.4921916522815595,3.0,11.0,105.83097974855792,88.28093526359372,34371.164,33993.207,1.1118603784573633,34301.569,38952.53366666666,39016.098333333335,,,0.5543,46.23,
ABW,1994,35490.723,77595.0,2.890000104904175,49.7915138411644,,4.05692612365099,0,none,2.75152795271012,3.0,11.0,105.83097974855792,88.28093526359372,34540.336,34371.164,0.4921916522815595,34800.741,38952.53366666666,39016.098333333335,,,1.9845,31.0,
ABW,1995,35386.86,79805.0,2.890000104904175,48.4495619338157,,6.98825052743605,0,none,-0.292648306995602,3.0,11.0,105.83097974855792,88.28093526359372,35490.723,34540.336,2.75152795271012,35139.306333333334,38952.53366666666,39016.098333333335,,,2.4831,22.39,
ABW,1996,34419.43,83021.0,3.200000047683716,46.6724378566507,,6.89090544941648,0,none,-2.7338678820330475,3.0,11.0,105.83097974855792,88.28093526359372,35386.86,35490.723,-0.292648306995602,35099.00433333333,38952.53366666666,39016.098333333335,,,2.6125,19.4,
ABW,1997,35444.58,86301.0,2.996000051498413,45.3563969547935,,6.31195251913281,0,none,2.9784049300061177,3.0,11.0,105.83097974855792,88.28093526359372,34419.43,35386.86,-2.7338678820330475,35083.62333333334,38952.53366666666,39016.098333333335,,,2.7406,19.7,
ABW,1998,35271.906,88451.0,1.875,44.3940185451221,,4.173555703149,0,none,-0.4871661619350487,3.0,11.0,105.83097974855792,88.28093526359372,35444.58,34419.43,2.9784049300061177,35045.30533333334,38952.53366666666,39016.098333333335,,,2.0802,23.15,
ABW,1999,35227.477,89659.0,2.2769999504089355,43.6697806335828,,10.7168994077419,0,none,-0.125961437978439,3.0,11.0,105.83097974855792,88.28093526359372,35271.906,35444.58,-0.4871661619350487,35314.65433333333,38952.53366666666,39016.098333333335,,,1.835,28.57,
ABW,2000,37524.035,90588.0,4.048999786376953,43.3179869318272,,10.9174500760991,0,none,6.519223616269776,3.0,11.0,105.83097974855792,88.28093526359372,35227.477,35271.906,-0.125961437978439,36007.806000000004,38952.53366666666,39016.098333333335,,,3.0891,19.02,
ABW,2001,38729.457,91439.0,2.890000104904175,43.2308391159286,,15.885948876168,0,none,3.212399732598059,3.0,11.0,105.83097974855792,88.28093526359372,37524.035,35227.477,6.519223616269776,37160.323,38952.53366666666,39016.098333333335,,,1.6986,26.83,
ABW,2002,38098.906,92074.0,3.319999933242798,43.0780227806007,,6.57378500312943,0,none,-1.6280915066792634,3.0,11.0,105.83097974855792,88.28093526359372,38729.457,37524.035,3.212399732598059,38117.46600000001,38952.53366666666,39016.098333333335,,,1.713,23.79,
ABW,2003,38086.01,93128.0,3.660000085830689,42.8753336810776,,7.42457507462851,0,none,-0.0338487409585974,3.0,11.0,105.83097974855792,88.28093526359372,38098.906,38729.457,-1.6280915066792634,38304.791000000005,38952.53366666666,39016.098333333335,,,2.7913,20.87,
ABW,2004,40000.562,95138.0,2.5299999713897705,42.6913039565648,,6.60450953637949,0,none,5.026916707735984,3.0,11.0,105.83097974855792,88.28093526359372,38086.01,38098.906,-0.0338487409585974,38728.492666666665,38952.53366666666,39016.098333333335,,,3.6944,12.14,
