"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Age dependency ratio (% of working-age population)","SP.POP.DPND","83.0461589735044","81.9690917425185","81.0583167234617","79.7943477163765","78.152923352812","76.3547096617772","74.5909929204593","73.469387755102","73.0199179847686","72.6414266920041","72.1922009639258","71.5111020336708","69.8095544568938","67.2691800080335","64.7690048571106","62.3680472383923","60.0263201184405","57.9060865814869","56.1598342145115","54.7032226026502","53.6206984973588","53.1031170210077","52.7165786063204","52.1591353677621","51.5467643232304","50.6884093350259","49.621770066159","48.5436649424999","47.7390438247012","47.557551937114","48.3884698148455","50.238252661818","51.0352827876029","50.4215576196795","49.7915138411644","48.4495619338157","46.6724378566507","45.3563969547935","44.3940185451221","43.6697806335828","43.3179869318272","43.2308391159286","43.0780227806007","42.8753336810776","42.6913039565648","42.6369612856099","42.7685060178669","42.9917617327489","43.260508496231","43.5354448619784","43.4533955008381","43.0477704342006","42.8649842877335","43.0385229703024","43.5153583617747","44.2477876106195","45.1551319021681","46.125005039442","47.1166704939956","48.0999783009656","48.8784687945596","49.3199495334618","49.8010748935576","50.499754678629","51.2895227154925","",
"Africa Eastern and Southern","AFE","Age dependency ratio (% of working-age population)","SP.POP.DPND","88.9677901516107","89.3222844022383","89.6850638309247","90.1224754792289","90.5506447144692","91.013816216356","91.5444584507984","92.0497306900274","92.516704370843","92.9576487526757","93.4292377555176","93.9458028567404","94.4694545386609","94.9234242975106","95.2067166471228","95.3781533431628","95.5880747369405","95.7630864792576","95.7824590916827","95.8103500668991","95.7845173175987","95.7123971445204","95.634275008347","95.3843429603511","95.0562447772691","94.7505109025836","94.4805490238082","94.2721097383902","94.0649981124854","93.8586172624529","93.6538623439767","93.4111683219832","93.3363751975131","93.2577324771106","92.9463649287734","92.8644391951083","93.2692342815653","93.5619051844311","93.2877514272758","92.8254342830759","92.3979511109114","91.9550701725296","91.5270061828141","91.1357231031945","90.7728755792482","90.4539572577438","90.1559484991249","89.8314530134578","89.4556744056117","89.0526986405176","88.5725762183229","87.977208607463","87.3607761347659","86.7370985760153","86.0934422011175","85.3786910237359","84.6520152076131","83.880531648472","83.0340977254466","82.2360975117786","81.4337765865991","80.6343383343277","79.8794634848445","79.1475199128058","78.4380513561385","",
"Afghanistan","AFG","Age dependency ratio (% of working-age population)","SP.POP.DPND","81.0613894386502","81.2840359519206","81.5068083352119","81.8545805002831","82.3730133850468","83.0962139283287","83.9487837199585","84.793913350911","85.6302795087328","86.456962149139","87.257666613481","88.026352404817","88.7756358202595","89.5107402157941","90.2437777766589","90.9672209131238","91.6743266335102","92.3750674680591","93.0651831676898","93.747143749577","94.4517656835338","95.1597438213452","95.8169549452993","96.3518916570271","96.8321378522571","97.3022747294073","97.7738465721445","98.2227033395005","98.6703927392961","99.131117841189","99.6645090710183","100.333805677725","101.130964399038","101.99673440322","102.99668425802","104.092606744234","105.223953365424","106.412388709347","107.593615693214","108.686030843852","109.586047730495","110.219341359285","110.534611030603","110.557539565476","110.285308007212","109.728525433204","108.889135191956","107.737250564546","106.334375525183","104.799467490534","103.144455694301","101.458308292088","99.7731309368865","98.063558808759","96.3463937851296","94.6132337112821","92.8898712202104","91.2936186853936","89.8496059758101","88.5120276122222","87.2478169146763","86.0834681804276","84.9624893289139","83.8361728436287","82.7768483158234","",
"Africa Western and Central","AFW","Age dependency ratio (% of working-age population)","SP.POP.DPND","81.4393851941419","81.8088714764138","82.2805891535436","82.8974943527169","83.6223912452171","84.2597376583467","84.7993074576667","85.3297244639072","85.8646655740796","86.4149620879178","86.9377748338114","87.4554583249935","87.9955264044059","88.5347060381631","89.0957957959494","89.6941290093764","90.3379105444759","91.0047580507985","91.681550207181","92.3311427309639","92.9487109682837","93.5219899812318","93.9887265725108","94.477549100526","95.0064977408023","95.435633131976","95.716907296398","95.8630902318826","95.8644634287521","95.7324735807295","95.5004706695765","95.1618512715231","94.6970023922692","94.1549605137338","93.5966525244117","93.0273577879225","92.502897988124","92.0247942396789","91.4824365700981","90.9764938920588","90.6290643578467","90.422433777545","90.2668318862323","90.1097566702839","89.9803135779368","89.9259612441891","89.9597111103669","90.0156508383548","89.9582234720043","89.8164999687242","89.7112435925986","89.603454905227","89.5026076691843","89.3486868815622","89.117557358818","88.8085731719333","88.3034388121926","87.6188298125453","86.8118075528579","85.8861608427101","84.7988623219246","83.6096594416288","82.3934755924962","81.1022875892635","79.8023373708457","",
"Angola","AGO","Age dependency ratio (% of working-age population)","SP.POP.DPND","79.9383931522572","81.1686330123961","82.5253514534538","84.076362664797","85.9405929138764","87.8780795677633","89.6834092671677","91.3318499692916","92.7722642082821","94.0047440185614","95.4042122434371","96.4083230339013","96.1495451328131","95.1960032741815","94.1598216870328","93.1631350537773","92.2385730139114","91.284609068902","90.3302220940526","89.5063305567818","88.7723039240146","88.1806528985316","87.7435755520231","87.3798032539328","87.1597473936693","87.2055148279918","87.5777569552296","88.1947011485805","88.8791407611864","89.5708841239709","90.2569092408058","91.0097669157643","91.7442494683851","92.4413661617916","93.0993791707479","93.5234970290837","93.7288649060103","93.7802905353552","93.7057826773577","93.5866772056373","93.3950546591747","93.1426057931913","92.8689882806235","92.580157249846","92.303774744203","92.0716996645369","91.8966478141105","91.7757132003252","91.7437443702865","91.7835468670602","91.8283866159677","91.8569027197923","91.8993770017946","91.9497035468882","92.0505618911043","92.1805019005926","92.1880041070431","92.0715542905016","91.902769414907","91.6470396304726","91.3698274972374","91.0363983104785","90.5895118569742","90.0552252752265","89.4060806363382","",
"Albania","ALB","Age dependency ratio (% of working-age population)","SP.POP.DPND","87.4824468277266","89.0174463626839","89.6692213484952","89.8996428513712","89.8532357416597","89.7554170304477","89.686199951057","89.5820433137926","89.315233153249","88.701197458234","87.7159347826851","86.4821210612807","85.0541106434373","83.4649625561658","81.7235289296203","79.8356762221833","77.8331850501631","75.7925553751931","73.9440901379276","72.2706705167925","70.7316870571562","69.3754795818512","68.0832991746992","66.8113480235745","65.6343045042569","64.7705503224261","64.002947309251","63.070270396046","62.3500734423783","61.9029347682159","61.4824255907926","61.0785706431672","60.7871692686772","60.5915833011548","60.4038280450256","60.2826958882289","60.1606949122209","59.8927067398816","59.5026684639966","59.0642631536668","58.5977290277002","57.8351705993426","56.7367022110026","55.6139978139615","54.5211229067505","53.4435407688365","52.4132353218301","51.4388391998976","50.4759629154815","49.4627290108976","48.4034139161967","47.3939165172533","46.6305614201807","46.2294891341532","46.0990797197022","46.063682495576","46.0418641879175","46.1747781810153","46.5089324540399","47.0423753077936","47.6864712685303","48.4416017247105","49.2510463435051","50.0239258237319","50.9742938346485","",
"Andorra","AND","Age dependency ratio (% of working-age population)","SP.POP.DPND","51.5697211155378","51.3987043580683","51.3517203713818","51.3400228629493","51.2680730030813","51.1473229132025","51.7534758248599","53.1869619885869","54.2800682655169","54.6204482959753","54.2744613483667","53.4201488265598","52.2347480106101","50.8643494309443","49.4139173194579","48.0304887799158","46.8349378959445","45.7442819647544","44.7106670792626","43.6437484297797","42.3819187457722","40.8770466949666","40.3083939624281","40.4507998061076","40.1206536510988","39.3083060491433","38.7181898146744","38.6107798365281","38.2255041817012","38.2304751501912","37.8932466442953","36.2351244139921","35.2413901556849","34.9716284824438","34.9654293651954","35.5820021638134","36.1854287721091","36.5122903259838","36.7852883951547","37.3996319839411","38.2609244758777","38.9898478228751","39.5564042303173","38.8803389762757","37.3267802372418","36.7306571534535","36.5890914083685","36.3435022980084","36.443115338105","37.0265105110991","38.3349616907492","39.2481203007519","39.2727668213457","39.4617752884009","39.5371281507834","39.3616405028095","39.1038735787242","38.7983591750715","38.3256344663857","38.0123080254823","38.1539010890912","38.19592628516","38.168706445238","38.2484697192491","38.5649541718808","",
"Arab World","ARB","Age dependency ratio (% of working-age population)","SP.POP.DPND","88.5877544300781","89.5076324450856","90.3417445396099","91.1663660820701","91.9089258331803","92.5461776861808","93.0695748862774","93.4342802627345","93.6072155787516","93.6449819904526","93.6622980967734","93.6859612320513","93.7315776109436","93.8022393343724","93.767722554103","93.7722591178196","93.8985245231955","93.7127921431441","93.1731815526429","92.615356167159","92.0862070861094","91.5880715222524","91.0938229848363","90.5711481106102","90.0713502956121","89.5727483118674","89.0692841416272","88.5316610514587","87.9397336030833","87.3004149214729","86.5999433863454","85.5906781251167","84.6026329881113","83.6431779807627","82.6369556271296","81.5404686694342","80.3854706576366","79.1606548500184","77.8227645209978","76.4246596174675","75.0620389023281","73.7283831972865","72.4017145905041","71.0991195019205","69.827730375053","68.6103181536626","67.3554334257029","66.0812022566949","65.1021958530032","64.4105960115012","63.9926835019862","63.6170461343068","63.3889756559187","63.4202826235924","63.5583753221543","63.534064295947","63.422729290121","63.345819094422","63.2816800096952","63.0627189004981","62.7149980171102","62.3866911370144","61.6662320347199","60.8736861542823","60.1776794320846","",
"United Arab Emirates","ARE","Age dependency ratio (% of working-age population)","SP.POP.DPND","67.0044887526863","63.8855568355919","61.2212891385351","59.0900539320206","57.3723318288429","55.7407148515774","53.828129835451","51.2244382731633","48.901997386597","47.2791519434629","45.5140087246652","43.813718293777","42.4458355531877","41.4936629239713","40.9492932174815","40.7244956682687","40.2226750606209","39.6547418429368","39.5564676059253","39.7832157757117","40.0836060667497","41.1264659840378","42.7861396926053","44.2593085665438","45.6120066629353","46.8107095634497","47.6450884884073","47.6759664281768","46.8769022377521","45.6031927970083","44.1092156907403","42.5639437112041","41.066545883166","39.6473016268041","38.272105724528","36.8700363669481","35.4838440474638","33.9063010927674","32.0313687412118","30.1512914467431","28.3894784230497","26.8321411139091","25.5807133564786","24.7137727030423","24.2034056488981","23.8508434184053","23.501200223279","22.9934856247938","22.5722525422506","22.4572001454064","22.3929290494442","22.3254188260817","22.3511283233596","22.4163226622205","22.4573333412344","22.4526561983721","22.3933808829188","22.3131514262999","22.2647153045603","22.2156206400823","22.1652541679088","22.1412793084987","22.1229936023157","22.0026623838262","21.769960468876","",
"Argentina","ARG","Age dependency ratio (% of working-age population)","SP.POP.DPND","57.4596515380821","57.5425154277645","57.5454430590788","57.4958259943449","57.4331658776972","57.3274461491482","57.158750271918","56.9916067996698","56.8680946746556","56.8090614593154","56.840614737403","56.9725645615859","57.1902082085568","57.5076504015073","57.9132089064774","58.3864821235626","58.9675879453518","59.6529069513677","60.3878298432888","61.1212136531302","61.8360931237676","62.5270329198226","63.1125476534823","63.5288357430349","63.8090883783565","64.0091845105698","64.1501961418179","64.2246109226988","64.2417825960992","64.1902648259784","64.0659888263892","63.909043570366","63.7003214972916","63.4247592212681","63.1273809200644","62.7992211452248","62.4265471122743","62.0324271385077","61.6256924207643","61.2236911618814","60.8399424011737","60.442088771688","60.0100181534326","59.5157720560259","58.9908808603745","58.4885317167095","58.0003526705021","57.5050434620378","57.0741876732807","56.735685768345","56.452142111234","56.2739537637124","56.1467747951315","56.0487044709811","56.0256427923844","56.0522891497333","56.0461721346243","55.9728015245357","55.8529254060554","55.5931801951266","55.0207968902513","54.2195244410156","53.3385463867822","52.4243366823125","51.5609570038159","",
